screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,influence_score,influencial
__Suwan__W__,417,384,0,3,132,0,0.9209,0.0,0.2614,3,0.25,32.0,1175,74.6615,9556.6667,118.5443,51.7987,2.6266,0.63,0.04,0.88,22.9435,0
_anthony_seger_,643,26550,38,1842,0,337,41.2908,0.0,0.675,4,0.022,0.0119,42792,1067.375,579.4653,136.92,22.0193,1.6753,0.15,0.05,0.70,478.184,0
_Autarch_,2552,211,140,182,109,6,0.0827,0.0016,0.0016,8,0.9953,1.1538,7,0.6209,0.7198,122.9242,17.963,5.9116,0.70,0.05,0.93,0.2472,0
_Backers_,1486,1926,94,3067,63,1,1.2961,0.2806,0.0,10,3.965,1.2928,14,0.872,0.2843,129.701,34.9217,3.0161,0.93,0.07,1.00,0.6924,0
_capergames,2705,2786,57,1142,2315,28,1.0299,1.7031,0.0255,19,1.622,1.4203,46236,122.892,107.6112,100.697,28.7413,2.6421,0.60,0.25,0.78,47.0676,0
_FG_College_,274,1015,154,250,321,6,3.7044,3.6241,1.1277,14,0.891,3.564,29426,61.482,245.928,109.187,39.1514,1.344,0.28,0.04,0.43,26.1913,0
_LaFabrique,2053,1452,160,2224,1769,149,0.7073,0.2679,0.1101,11,1.2,0.5396,2190,8.759,3.9384,122.313,6.1983,2.3721,0.43,0.21,0.65,6.6043,0
_meghansmith_,2043,10908,14,516,272,1,5.3392,7.8042,0.2702,30,1.464,2.8372,644972,16241.627,31476.0213,87.618,10.9044,1.4559,0.07,0.17,0.16,10086.0504,0
_sattva,2786,1659,126,1678,1163,88,0.5955,0.6572,0.0725,14,1.158,0.6901,40701,44.188,26.3337,127.893,29.4887,1.9281,0.47,0.12,0.69,20.8125,0
_WickedHeart,2382,88109,83,3237,2145,9,36.9895,3.7569,0.1003,85,0.651,0.2011,254713,2392.817,739.2082,58.932,3.5634,1.2,0.03,0.06,0.22,981.055,0
0pensource,3354,4959,121,6643,2679,402,1.4785,0.0781,0.0343,23,0.682,0.1027,8014,15.112,2.2749,109.374,18.456,1.7208,0.66,0.04,0.94,7.4049,0
18dMedia,2452,448030,106,11401,4072,41,182.7202,0.0098,0.1603,2,0.014,0.0012,2,0.634,0.0556,111.923,1.3362,1.0,0.00,0.60,0.99,0.3956,0
18SportsAndy,2566,23581,157,2135,985,24,9.1898,2.6699,0.1107,90,5.716,2.6773,32822,127.303,59.6267,119.684,27.5356,1.34,0.10,0.12,0.66,100.3148,0
1stGunn_Show,517,417,11,22,128,0,0.8066,2.383,0.1141,12,0.6595,12.5,29435,425.7002,8068.9545,79.4005,19.7626,1.7414,0.28,0.20,0.22,77.6052,0
25thCG,1339,457,96,430,243,11,0.3413,0.1464,0.0411,14,0.8736,0.9326,32,0.6383,0.6814,116.6275,41.987,1.2037,0.12,0.09,0.82,0.1669,0
2TomatoesGms,481,1089,76,1883,252,55,2.264,4.4324,1.2017,96,2.16,1.1471,19805,49.976,26.5406,112.654,1.367,1.7972,0.35,0.16,0.40,36.4325,0
3DDZYN,210,91,157,19,47,0,0.4333,0.2476,0.0952,9,0.8966,4.1053,37,0.8736,4.0,100.3793,18.3416,1.9677,0.36,0.15,0.44,0.2209,0
3Js3KimsYoongi,341,7567,20,336,496,3,22.1906,20.434,2.4575,7,0.038,0.1131,559988,17788.699,52942.5565,103.655,15.8943,1.2946,0.53,0.37,0.10,15440.5907,1
3kwa,3527,11488,0,289,376,64,3.2572,1.6856,0.2194,7,0.097,0.3356,143710,3337.457,11548.2941,111.995,12.8098,1.3117,0.08,0.13,0.24,2606.5539,0
3rdEchelon,2195,6674,158,1146,328,12,3.0405,3.38,0.1212,265,3.059,2.6693,29120,152.101,132.7234,89.908,16.9105,1.3158,0.04,0.08,0.50,60.0799,0
4HOGS_GAMES,1450,427,43,774,2374,24,0.2945,0.0338,0.0359,13,0.5293,0.292,2045,8.4169,4.6434,80.3653,35.8105,3.1724,0.14,0.09,0.28,2.0503,0
4NewSquare,2403,741,137,3496,381,45,0.3084,0.1348,0.1174,44,1.1456,0.2363,119,2.6505,0.5466,130.749,19.5154,1.2836,0.19,0.02,0.63,2.0512,0
4Sevens,3950,701,160,2347,46,52,0.1775,0.0724,0.0106,12,0.6484,0.1917,4,0.3415,0.101,106.9669,26.2552,2.2393,0.23,0.13,0.48,0.0846,0
5toclose,3249,24548,154,11810,11394,1204,7.5556,1.305,0.0006,6,0.319,0.0113,10,0.1095,0.0039,116.5095,26.429,2.274,0.17,0.00,0.99,0.0078,0
893lafm,191,340,144,133,2050,0,1.7801,0.5654,0.5131,6,0.3535,0.8346,124066,484.035,1142.7594,128.4745,10.5955,1.94,0.32,0.09,0.66,302.1347,0
8bitpxl,1174,4735,128,12931,10368,197,4.0332,5.2411,0.0128,103,1.807,0.1397,153,0.864,0.0668,79.236,26.7091,2.2736,0.20,0.05,0.22,0.1564,0
9Lamper,2356,13957,18,910,1041,0,5.924,6.2615,0.2267,36,1.598,1.756,195544,3530.776,3879.9736,89.309,8.6073,1.4242,0.03,0.13,0.12,2174.958,0
A1GOY,3431,51247,152,12256,1119,217,14.9365,0.067,0.0434,303,5.384,0.4393,182534,730.023,59.5645,86.094,9.3548,1.2,0.03,0.13,0.26,195.6462,0
AAltherrcjusd,328,594,0,118,181,1,1.811,19.8902,1.1311,184,0.7377,3.4322,126214,1705.5574,7935.178,107.1931,27.8368,1.5847,0.21,0.24,0.14,1186.7268,0
aaronareed,1849,1991,154,1572,899,79,1.0768,1.1801,0.1747,215,3.573,2.2729,148950,183.37,116.6476,116.994,23.1368,1.177,0.30,0.07,0.37,106.7213,0
aawato,1216,9836,142,1941,391,15,8.0888,8.1069,0.1941,309,4.547,2.3426,103062,957.84,493.4776,87.343,13.3008,1.3654,0.05,0.22,0.22,334.2862,0
ABCDjamesbond,290,4663,35,159,2121,2,16.0793,0.8483,2.5172,2,0.053,0.3333,156878,1480.419,9310.8113,124.796,49.4367,2.2476,0.63,0.05,0.21,1104.3926,0
abcxyz_jp,3276,9268,159,989,830,25,2.8291,5.1398,0.0321,25,1.41,1.4257,30209,99.811,100.9211,115.433,3.1175,5.3481,0.66,0.11,0.85,27.5478,0
aboardgamelife,3275,5043,164,604,687,20,1.5398,4.5832,0.0745,23,1.732,2.8675,2261,5.938,9.8311,106.577,33.9595,1.4205,0.18,0.17,0.42,1.8823,0
AccelerateMeCo,1571,149,90,70,92,5,0.0948,0.1451,0.0547,10,0.8667,1.4857,437,6.775,11.6143,134.1,44.1666,1.6216,0.31,0.05,0.31,5.9844,1
AceAnbender,3376,60183,83,24307,1054,658,17.8267,4.1961,0.0498,227,9.432,0.388,78052,171.177,7.0423,81.428,7.0253,1.0588,0.02,0.11,0.30,55.6325,0
Acoustic_Camera,1017,52,160,120,339,2,0.0511,0.0364,0.0088,6,1.0392,0.4417,60,2.7255,1.1583,123.7647,24.55,1.8125,0.63,0.18,0.80,1.7637,0
ActionZacku,3494,5066,138,2935,643,34,1.4499,1.1431,0.1039,4775,24.276,8.2712,162913,1599.117,544.844,102.915,10.6494,1.65,0.04,0.21,0.34,1156.1616,0
AD360eu,914,11732,155,16367,16832,618,12.8359,2.0077,0.1488,8,0.668,0.0408,573,1.728,0.1056,91.461,13.8599,2.0305,0.59,0.26,0.93,0.5581,0
adelaide_rain,2637,13422,116,247,225,8,5.0899,7.7933,0.0557,33,1.336,5.4089,175987,1666.467,6746.83,79.093,17.2056,1.1143,0.04,0.20,0.20,278.3,0
AdhilPatel,611,1353,104,981,1351,14,2.2144,2.8232,0.1686,46,0.914,0.9317,14573,55.33,56.4016,99.51,32.0907,1.7207,0.22,0.07,0.53,9.4614,0
adversitygames,770,805,87,318,442,11,1.0455,0.2143,0.0792,9,1.261,2.9623,8290,16.9719,39.8679,121.7952,8.3267,2.5141,0.81,0.21,0.81,11.5646,0
AECoker,2424,2180,155,1235,1562,49,0.8993,0.6122,0.262,64,1.373,1.1117,27165,120.29,97.4008,115.896,17.4234,1.453,0.23,0.14,0.29,84.5639,0
AffinitiVC,480,99,140,227,247,3,0.2062,0.3583,0.1396,16,1.4059,0.6256,80773,1130.8515,503.1542,117.4059,30.0196,1.8919,0.37,0.08,0.41,1041.288,1
afterallmylove,1636,90059,116,18619,18406,370,55.0483,197.5862,0.4034,106,4.51,0.2422,148673,552.928,29.697,100.281,24.5368,2.0225,0.09,0.29,0.21,513.1172,1
AGCemporium,669,1440,143,349,1055,30,2.1525,3.2197,0.4634,27,1.131,3.2407,611744,908.881,2604.2436,128.086,19.5068,2.6314,0.77,0.15,0.70,495.3401,0
AgileFaye,3990,4516,93,2251,1692,113,1.1318,1.2323,0.1263,58,0.713,0.3167,65113,156.948,69.7237,110.925,26.0091,1.4326,0.28,0.09,0.28,90.2451,0
ahrcletterpress,364,135,74,317,418,4,0.3709,0.0,0.0962,33,2.5159,1.0,37,3.7143,1.4763,122.881,17.5909,1.0164,0.48,0.06,0.36,3.1835,1
akasha111182,2479,33014,57,271,558,48,13.3175,13.0698,0.1158,182,1.566,5.7786,415004,3903.934,14405.6605,94.795,17.5999,1.3171,0.08,0.13,0.28,1210.2195,0
alanbahr,3151,15045,98,731,183,37,4.7747,3.3996,0.0479,45,2.792,3.8194,63203,111.099,151.9822,81.809,14.8936,1.5385,0.05,0.10,0.24,31.2188,0
alaskangeles,619,957,0,2517,153,2,1.546,14.8643,0.2294,1398,29.5533,10.8021,3636865,10479.6891,3830.4783,77.5348,11.5461,1.4686,0.19,0.27,0.17,5080.5533,0
AlexisJanson,3277,4631,153,1176,236,89,1.4132,1.1129,0.0049,109,2.39,2.0323,3624,3.905,3.3206,108.169,16.1899,1.1321,0.05,0.03,0.46,0.2265,0
alexneskin,3440,1498,143,478,237,31,0.4355,0.0244,0.0148,10,0.134,0.2803,5329,7.916,16.5607,73.656,12.421,1.5462,0.25,0.06,0.75,0.6887,0
alisongilbert,3256,1240,118,405,195,19,0.3808,0.7792,0.059,21,0.568,1.4025,26196,167.5,413.5802,85.938,24.3256,1.1281,0.20,0.04,0.35,44.7225,0
alissakmclean,1850,47596,125,1384,3086,10,25.7276,66.5568,0.2562,62,0.931,0.6727,115939,1535.965,1109.8013,120.774,3.1149,1.4878,0.08,0.04,0.44,849.3886,0
Alizetibikes,489,225,28,61,392,2,0.4601,0.5849,0.0859,6,0.6793,2.0492,685,10.5326,31.7705,116.2065,26.8661,2.1849,0.65,0.05,0.82,5.3232,0
AllanKirkeby,2864,324,69,180,121,12,0.1131,0.0367,0.036,12,0.4227,0.7444,4672,19.0379,33.5278,115.2397,29.2199,1.5543,0.29,0.09,0.31,7.8664,0
AllArduino,1473,55337,31,2544,50,125,37.5675,0.0,0.0,5,0.358,0.1407,2,0.088,0.0346,86.508,7.1305,1.0,1.00,0.00,1.00,0.007,0
alleycatgames,805,1811,158,1229,1447,28,2.2497,2.0634,0.0634,76,2.801,2.2791,1755,3.467,2.821,92.139,36.5332,1.7241,0.03,0.10,0.28,0.5027,0
AlphaMecha,1376,534,43,24,66,2,0.3881,0.0058,0.008,8,0.2399,5.2083,15,0.1574,3.4167,127.1171,18.7157,2.3054,0.82,0.57,0.98,0.0142,0
alpoma,3832,18865,152,3794,1291,337,4.923,0.5465,0.0368,81,1.848,0.4871,226,2.696,0.7106,96.125,3.9913,1.6157,0.26,0.12,0.76,1.3992,0
ALuccia7,903,44,7,52,85,0,0.0487,2.0687,0.0044,21,5.2791,4.3654,704,34.2326,28.3077,89.2093,2.4481,5.4444,0.42,0.07,0.67,26.2701,0
alxbates,1848,264,30,166,339,7,0.1429,0.3869,0.0179,25,1.8939,3.012,386152,2322.5795,3693.741,98.3333,16.3314,2.28,0.28,0.35,0.18,694.9158,0
alysiareiner,3305,13798,77,44409,480,392,4.1749,3.0145,0.1419,446,8.346,0.1879,149932,2784.427,62.6996,116.895,23.3137,1.3689,0.31,0.07,0.58,2503.1999,1
amandamakepeace,3677,34608,154,2001,745,221,9.412,4.3258,0.0715,39,2.169,1.084,378922,571.436,285.5752,101.682,32.9622,1.7988,0.17,0.14,0.38,227.4315,0
amandarivkin,2827,89924,124,4331,4054,218,31.809,5.5055,0.0679,237,0.796,0.1838,34802,238.723,55.1196,116.046,-8.244,1.0,0.02,0.03,0.74,82.8369,0
amangrovetree,1339,394,25,489,137,5,0.2942,0.4496,0.0515,17,1.3604,1.0961,164,1.6827,1.3558,106.1447,22.3007,1.9867,0.19,0.11,0.42,0.5467,0
amartino,4124,152807,124,28001,184,1259,37.0531,3.3943,0.0759,224,2.207,0.0788,128965,1604.343,57.2959,96.534,4.5634,1.619,0.04,0.10,0.36,709.1196,0
AmberNLyon,1744,1303,97,199,352,5,0.7471,1.3148,0.3687,14,0.484,2.4322,1701286,14883.215,74790.0251,107.296,16.7985,1.3986,0.28,0.18,0.24,10001.5205,0
anatotitan,3610,45171,126,3483,2224,240,12.5127,3.8172,0.1305,1137,4.406,1.265,105834,436.794,125.4074,109.798,20.2109,1.4883,0.21,0.16,0.33,267.7547,0
andevers,3414,74999,159,12820,4045,479,21.9681,19.0422,0.0709,369,4.3,0.3354,142342,404.888,31.5825,97.265,19.8487,1.1333,0.03,0.07,0.41,148.9988,0
Andi_Roberts,3364,8747,156,5986,6202,229,2.6002,0.9646,0.0654,100,1.409,0.2354,38404,108.292,18.0909,115.652,27.2074,1.5721,0.22,0.05,0.53,41.6924,0
Androidheadline,3289,233178,94,572373,485,3810,70.8963,0.1779,0.1052,77,6.03,0.0105,19,1.929,0.0034,117.488,8.5118,3.9205,0.15,0.85,1.00,1.5741,1
andyr20,2706,400,160,322,686,7,0.1478,0.3758,0.0706,14,1.0447,1.2329,234190,930.8737,1098.5466,116.4789,38.0944,1.5896,0.56,0.19,0.39,580.5859,0
AndyXJenkins,637,334,52,925,3095,3,0.5243,0.6923,0.19,39,1.2222,0.4043,126286,831.6111,275.1059,112.9542,13.4883,1.8214,0.37,0.05,0.44,521.836,0
angelaanimates,2528,1039,156,379,954,18,0.411,1.3422,0.0261,509,2.455,6.4776,113299,167.647,442.3404,79.326,23.8289,2.1,0.23,0.32,0.29,35.3735,0
angelaefox,930,510,140,478,459,16,0.5484,0.5656,0.2505,14,2.3996,2.4498,13200,63.6025,64.9331,127.0082,35.7862,1.5603,0.71,0.10,0.59,51.6134,1
Angus_A,3657,2750,160,1877,1785,90,0.752,0.1717,0.0826,47,1.338,0.7128,369054,459.3,244.699,124.106,16.9464,1.5541,0.16,0.27,0.68,216.7896,0
AnnabelleNAiden,204,186,160,117,829,0,0.9118,0.5833,0.1569,8,0.6514,0.9744,19516,221.3714,331.1111,113.2743,25.9245,2.2727,0.38,0.17,0.61,74.6243,0
AnotherIdolBot,1196,74820,18,6687,734,96,62.5585,2.3587,0.0259,69,7.467,1.1166,7921,62.207,9.3027,135.063,-2.6152,1.5,0.01,0.04,0.97,45.5977,0
AntikBar,2441,31062,141,14179,14174,232,12.7251,0.2294,0.0049,19,1.117,0.0788,19,0.559,0.0394,138.005,55.6885,2.0901,0.35,0.02,0.99,0.1593,0
AppUnwrapper,2436,107862,146,3010,991,172,44.2783,1.0029,0.0333,110,0.906,0.301,139293,353.11,117.3123,78.829,5.2311,1.9286,0.03,0.11,0.27,73.0938,0
AppzBay,1127,17740,72,577,1897,389,15.7409,0.0302,0.0,2,0.0893,0.0867,2,0.1286,0.1248,107.8071,16.7498,2.4015,0.95,0.00,1.00,0.0154,0
ArcaneVoid,1753,1308,143,45,227,0,0.7461,0.4877,0.065,195,1.288,28.6222,83213,915.267,20339.2667,105.209,12.5729,1.0,0.02,0.03,0.27,217.8335,0
ArceFoLa,1079,13,0,8,654,0,0.012,0.0028,0.0009,1,0.0769,0.125,16,1.3077,2.125,73.5385,-17.5908,2.0,0.08,0.00,0.23,0.2011,0
AreaGamesFC,1562,1315,75,267,683,5,0.8419,0.0659,0.0429,8,0.278,1.0412,251,0.579,2.1685,81.873,1.6785,2.1429,0.28,0.55,0.46,0.1002,0
ArionGames,2682,350,105,267,91,12,0.1305,0.0,0.0041,16,0.8406,1.0861,10,1.2812,1.6554,100.8203,15.117,1.2,0.01,0.16,0.80,0.6535,0
Art6561,28,1,0,1,0,0,0.0357,0.0,0.0,0,0.0,0.0,1,1.0,1.0,65.0,47.53,0,0.00,0.00,1.00,1.0,1
ArtByEmilyHare,1652,4600,60,2720,1165,75,2.7845,2.5345,0.0805,315,6.541,2.4048,180615,822.006,302.2081,83.003,35.8628,2.4493,0.14,0.08,0.36,267.974,0
artbyRena,1771,960,156,265,456,11,0.5421,1.2541,0.0486,138,1.2025,4.3019,8350,21.7711,77.883,105.7975,31.0788,2.9367,0.33,0.29,0.32,3.5835,0
ArtfulIphone,817,358,120,97,69,5,0.4382,0.1714,0.12,9,0.6528,2.4227,1922,9.1056,33.7938,101.4028,31.8855,1.5238,0.12,0.06,0.54,3.7943,0
artofrecords,1210,18,78,39,16,1,0.0149,0.0041,0.0,4,0.6471,0.2821,2,0.1765,0.0769,107.3529,42.4447,1.75,0.24,0.00,0.82,0.0208,0
asadayaz,3417,7480,126,2525,229,36,2.1891,2.506,0.0705,6637,32.255,12.7743,163661,801.798,317.5438,89.441,20.8117,2.5641,0.60,0.21,0.48,580.5018,0
Asako_Soh,2325,91221,124,6024,6625,182,39.2348,49.3389,0.314,43,0.679,0.1127,113492,326.555,54.209,115.229,23.2147,1.5333,0.23,0.09,0.14,245.8959,0
ashessocks,1088,626,104,746,399,6,0.5754,2.7353,0.3851,31,0.8347,0.6836,1579,8.6137,7.055,119.1424,18.7132,3.4109,0.42,0.07,0.47,6.4,0
AskSweetCream,1490,778,29,149,192,3,0.5221,0.1617,0.0141,77,1.5746,7.651,16445,48.8564,237.396,86.6243,14.0006,1.3636,0.03,0.15,0.30,7.6949,0
AstorPlaceNYC,1618,1790,63,951,150,33,1.1063,1.7695,0.2225,121,2.303,2.4217,240,4.238,4.4564,126.945,35.9205,1.4771,0.37,0.12,0.68,2.9496,0
astralruby,721,416,128,36,41,0,0.577,0.1581,0.2483,69,1.4989,18.1111,107553,1663.8851,20105.2778,97.0713,21.9458,1.5197,0.29,0.59,0.18,1048.0812,0
atassani,3050,2649,49,796,547,54,0.8685,0.3305,0.1069,35,1.71,2.1482,124099,387.875,487.2802,100.182,22.7105,1.3192,0.35,0.21,0.33,212.5555,0
athomas_tr,741,1320,158,859,767,39,1.7814,2.0324,0.4211,22,0.913,1.0629,1584,11.686,13.6042,124.63,45.9653,1.6108,0.65,0.13,0.73,6.0183,0
AtosITChallenge,988,549,139,1285,623,41,0.5557,0.1225,0.0304,39,6.323,2.6965,251,6.5383,2.7883,128.0712,31.9088,1.8692,0.86,0.44,0.65,6.0852,1
AtriusEndures,1190,2080,110,929,1082,40,1.7479,3.3546,0.4538,73,2.157,2.3219,87599,105.763,113.8461,118.83,30.581,2.1725,0.43,0.14,0.25,77.4185,0
AttitudeMag,3410,59696,127,177071,20196,1507,17.5062,1.9449,0.0111,1325,39.481,0.223,945,15.253,0.0861,125.693,7.5486,1.1447,0.08,0.57,0.95,13.4837,1
AudiMidtown,2989,10799,146,13170,13577,143,3.6129,0.1579,0.0,6,0.505,0.0383,4,0.139,0.0106,128.995,33.677,1.3719,0.73,0.03,0.99,0.0157,0
AuroraProjectIn,1057,730,0,40,42,0,0.6906,0.0,0.0,5,0.1137,2.075,2,0.0219,0.4,105.0781,33.354,1.2698,0.09,0.01,0.95,0.0004,0
Auths_Alliance,1626,553,84,7170,402,87,0.3401,0.2374,0.0474,66,3.1506,0.2421,138,5.0018,0.3844,127.5299,36.091,1.1484,0.28,0.11,0.79,3.9214,0
AutographItNow,1009,4694,120,271,230,39,4.6521,0.2963,0.0595,33,0.208,0.7675,437352,532.361,1964.4317,113.326,24.2269,2.1491,0.74,0.46,0.80,68.6746,0
AVStudioGames,2034,3002,65,1651,920,46,1.4759,0.5703,0.1642,100,4.574,2.7704,230156,249.567,151.1611,102.531,23.2645,2.1667,0.13,0.16,0.29,128.2774,0
Awesome8sRPG,819,11740,149,904,708,85,14.3346,0.1746,0.0256,28,0.892,0.9867,201004,241.648,267.3097,110.166,10.8393,1.5604,0.79,0.44,0.46,39.147,0
AxidentalDM,300,1452,92,243,348,4,4.84,3.3,0.1367,65,1.557,6.4074,36058,85.747,352.8683,100.389,14.5631,2.0276,0.18,0.09,0.38,11.2329,0
azazel_42,2189,9727,17,246,447,20,4.4436,4.3202,0.2115,3,0.101,0.4106,315628,2957.667,12023.0366,90.261,14.9665,1.7221,0.42,0.24,0.42,1390.1035,0
B_Crilly,1968,2961,151,702,652,50,1.5046,2.2698,0.1103,177,3.04,4.3305,126286,466.724,664.849,123.072,26.1879,1.3763,0.28,0.04,0.55,198.3577,0
B_G__Exposure,345,410,155,1619,860,16,1.1884,1.0203,0.287,37,2.6854,0.68,778,5.2268,1.3237,110.8341,32.7773,1.877,0.30,0.06,0.78,3.5569,0
BackerClub,1368,49229,160,8068,5493,1529,35.9861,25.5015,0.0899,6,0.337,0.0418,6,0.356,0.0441,116.19,27.4473,2.5191,0.18,0.01,0.98,0.0915,0
BackerGuru,553,1305,158,2939,3588,27,2.3599,0.0289,1.5099,6,0.054,0.0184,21216,39.751,13.5253,129.554,29.3604,1.4867,0.26,0.07,0.62,33.5896,1
backrelease_,223,2183,126,2450,3094,9,9.7892,91.2511,0.0897,25,0.475,0.1939,23,0.155,0.0633,127.011,15.5996,1.5741,0.37,0.15,0.97,0.013,0
BackspindleGame,2267,9539,100,2618,1960,129,4.2078,3.2378,0.1804,18,1.989,0.7597,282917,498.534,190.4255,117.794,36.7698,2.1623,0.50,0.14,0.53,377.8888,0
BadAstronomer,4092,78832,128,629356,541,12927,19.2649,0.2441,0.0112,3937,111.901,0.1778,16310,80.75,0.1283,94.229,21.1864,1.2941,0.03,0.09,0.51,45.9468,0
baldengineer,3901,6116,113,1907,636,95,1.5678,0.2992,0.0708,52,1.926,1.01,281312,333.86,175.0708,108.626,11.1098,1.2692,0.13,0.28,0.67,169.9347,0
balio85,3792,4298,160,237,164,7,1.1334,0.0013,0.091,5,0.064,0.27,210033,616.034,2599.2996,94.257,9.0006,2.3638,0.69,0.19,0.44,255.6541,0
BanalaLife,54,17,18,456,16,1,0.3148,0.0741,0.0185,0,0.0,0.0,16,1.0,0.0373,83.8235,8.9288,8.0,0.06,0.00,0.94,0.1176,0
bantonframework,2100,7552,84,3304,2683,189,3.5962,8.9252,0.0414,8,0.551,0.1668,75193,94.403,28.5723,117.077,20.3554,1.93,0.10,0.47,0.86,15.6709,0
BarberHynkel,196,240,108,88,540,3,1.2245,0.3827,0.1735,5,0.2975,0.8182,21,0.814,2.2386,109.3719,23.4964,1.6044,0.38,0.01,0.81,0.1514,0
BaRPiGgame,760,2568,156,405,397,30,3.3789,2.6342,0.2592,28,1.675,4.1358,23758,97.137,239.8444,113.746,25.223,3.5666,0.53,0.14,0.73,44.7802,0
Bayo1000,2567,1003,142,1045,710,0,0.3907,0.044,0.0561,104,0.8469,0.7837,1701728,2899.0228,2682.6364,94.849,4.8062,1.7202,0.20,0.20,0.52,857.5309,0
BBCSport,2662,351879,138,7414810,283,19432,132.186,0.2663,0.1529,2357,118.572,0.016,6235,78.807,0.0106,131.91,9.431,2.0217,0.51,0.15,0.69,78.7282,1
BBStartups,1563,9541,143,643,908,58,6.1043,0.0006,0.0,3,0.098,0.1524,3,0.026,0.0404,111.614,-9.0721,1.2878,0.14,0.00,1.00,0.0006,0
BDGTom,135,12,60,474,14,2,0.0889,0.0,0.0,15,6.0,0.1013,215,27.875,0.4705,95.625,-41.5425,0,0.00,0.38,0.75,17.4219,0
BeardWags,1239,1226,122,419,1042,16,0.9895,0.0638,0.071,45,0.508,1.2124,1681,4.049,9.6635,112.271,25.7836,2.7929,0.59,0.09,0.34,1.1702,0
beastsofwar,3382,30282,106,15398,73,306,8.9539,0.2705,0.0056,56,7.263,0.4717,40,2.045,0.1328,134.345,15.3396,1.225,0.36,0.02,0.96,1.2945,0
Beatrice_Elaine,2402,2556,59,453,809,9,1.0641,0.9929,0.0533,14,0.901,1.989,40071,147.074,324.6667,83.008,10.4096,1.4976,0.21,0.16,0.17,34.4153,0
beckitrain,3541,6086,144,2625,2530,317,1.7187,0.3488,0.2132,12,0.283,0.1078,209615,603.042,229.7303,123.051,27.0265,2.0903,0.60,0.16,0.56,494.4944,1
BecomingSchultz,90,261,83,184,164,2,2.9,0.6889,0.1556,20,0.4855,0.4565,27,0.7688,0.7228,109.6127,25.4775,4.0946,0.43,0.04,0.80,0.1155,0
behindtheindies,139,804,160,316,285,1,5.7842,5.223,1.7986,23,2.3499,5.3987,193,4.8003,11.0285,130.949,30.1674,2.2612,0.59,0.03,0.62,3.557,0
BeholderStudios,169,247,99,41,64,0,1.4615,0.0178,0.0059,12,0.629,3.3902,5,0.2579,1.3902,96.1131,9.426,2.2222,0.08,0.03,0.93,0.0292,0
bennetbieck,3388,242,88,308,649,9,0.0714,0.1703,0.0094,12,0.6736,0.5292,6635,59.0083,46.3636,107.4587,14.5112,5.0733,0.62,0.16,0.70,22.9188,0
BescentOfficial,1162,1382,138,2528,402,190,1.1893,1.2134,0.6282,28,0.516,0.2041,2343,7.987,3.1594,129.291,10.9396,1.9113,0.50,0.09,0.32,6.733,1
BestAppAwards,2022,1640,95,11214,9715,136,0.8111,0.3368,0.0519,12,1.172,0.1045,164,0.808,0.0721,117.824,50.0417,1.7494,0.42,0.10,0.73,0.2707,0
BestCrowdFundng,1228,34360,147,3015,3387,100,27.9805,0.1344,0.0,2,0.026,0.0086,2,0.016,0.0053,125.918,28.4858,1.0,0.49,0.00,1.00,0.0002,0
bestplayco,829,1985,35,2083,352,20,2.3945,0.7636,0.1134,30,0.692,0.3322,326,2.007,0.9635,107.852,30.478,1.3077,0.05,0.28,0.81,0.5339,0
bethanyar26,3548,8792,149,297,886,3,2.478,3.5147,0.1215,298,1.132,3.8114,499950,9846.141,33151.9899,104.182,15.7925,1.2151,0.19,0.09,0.32,4903.3782,0
BettaGamesHQ,871,3477,147,696,827,12,3.992,3.806,0.4122,131,2.856,4.1034,115190,355.104,510.2069,113.681,14.1214,3.0094,0.42,0.27,0.39,180.0377,0
beyondbasicspt,3078,4209,150,1474,1113,52,1.3674,1.5231,0.0244,21,1.281,0.8691,6192,7.336,4.9769,135.738,12.7303,2.3472,0.77,0.03,0.89,2.0541,0
beziergames,1918,5607,159,12532,190,342,2.9234,4.2972,0.1324,175,4.6,0.3671,303,2.025,0.1616,112.833,39.5785,1.5919,0.47,0.12,0.47,1.1502,0
BG_Heaven,1023,255,0,53,45,1,0.2493,0.2532,0.0186,16,0.8025,3.6792,441,4.6296,21.2264,109.4156,22.7864,1.5306,0.20,0.12,0.79,1.2574,0
bgamegiveaway,1148,1554,30,11837,668,36,1.3537,0.2274,0.0497,22,1.874,0.1583,9408,44.994,3.8011,113.876,18.6556,2.8433,0.73,0.04,0.94,21.0122,0
BgwNiramas,606,909,149,541,716,8,1.5,0.3861,0.0528,6,0.8499,1.3919,49,0.2765,0.4529,96.8488,19.0936,2.2969,0.14,0.01,0.92,0.0209,0
bigbadcon,2888,4358,82,1388,1870,46,1.509,1.3241,0.2133,59,1.892,1.3631,61269,63.94,46.0663,115.185,30.0103,1.2716,0.16,0.08,0.33,47.955,0
BigBadLex,3189,369,125,145,121,6,0.1157,0.1151,0.006,32,2.1917,5.1241,11,0.4218,0.9862,104.3717,21.3904,1.7857,0.04,0.12,0.62,0.0722,0
